model,layer,scenario,feature,coefficient,abs_coefficient,odds_ratio
balanced_explanatory,explanatory,all,promotion_headroom,1.057153535153575,1.057153535153575,2.8781667178378716
balanced_explanatory,explanatory,all,discretionary_referral_flag,1.0349091840049431,1.0349091840049431,2.814850590558591
balanced_explanatory,explanatory,all,discretionary_legacy_referral_flag,0.9364911717180586,0.9364911717180586,2.551014623798354
balanced_explanatory,explanatory,all,discretionary_manager_endorsement_flag,0.7336364366587813,0.7336364366587813,2.0826402436038958
balanced_explanatory,explanatory,all,same_high_school_flag,0.7121216707095198,0.7121216707095198,2.03831129955522
balanced_explanatory,explanatory,all,family_link_flag,0.1641475331575823,0.1641475331575823,1.1783881535940925
balanced_explanatory,explanatory,all,connection_strength,0.15898051010858827,0.15898051010858827,1.1723150981640973
balanced_explanatory,explanatory,all,performance_score,0.10558345203869948,0.10558345203869948,1.1113588458144832
balanced_explanatory,explanatory,all,same_last_name_flag,0.07234156530173878,0.07234156530173878,1.0750224717361418
balanced_explanatory,explanatory,all,tenure_months,0.03869791296890614,0.03869791296890614,1.0394564299099023
balanced_explanatory,explanatory,all,has_discretionary_channel,0.03082897232072967,0.03082897232072967,1.0313091063994484
balanced_explanatory,explanatory,all,years_experience,0.026999619326360528,0.026999619326360528,1.0273674116717233
balanced_explanatory,explanatory,all,close_family_relation_flag,1e-06,1e-06,1.0000010000005
balanced_explanatory,explanatory,all,same_city_flag,1e-06,1e-06,1.0000010000005
balanced_explanatory,explanatory,all,same_college_flag,1e-06,1e-06,1.0000010000005
balanced_explanatory,explanatory,all,discretionary_family_flag,1e-06,1e-06,1.0000010000005
balanced_explanatory,explanatory,all,discretionary_alumni_network_flag,1e-06,1e-06,1.0000010000005
balanced_explanatory,explanatory,all,discretionary_internal_source_flag,1e-06,1e-06,1.0000010000005
unweighted_explanatory,explanatory,all,promotion_headroom,0.9348962873752986,0.9348962873752986,2.546949293244464
unweighted_explanatory,explanatory,all,discretionary_referral_flag,0.8408813590962081,0.8408813590962081,2.3184094278204213
unweighted_explanatory,explanatory,all,discretionary_legacy_referral_flag,0.5680460982370699,0.5680460982370699,1.7648154045122317
unweighted_explanatory,explanatory,all,same_high_school_flag,0.505480586415644,0.505480586415644,1.6577820365749847
unweighted_explanatory,explanatory,all,discretionary_manager_endorsement_flag,0.2769851627751658,0.2769851627751658,1.3191467984121201
unweighted_explanatory,explanatory,all,has_discretionary_channel,0.27525926310167736,0.27525926310167736,1.3168720469445208
unweighted_explanatory,explanatory,all,same_last_name_flag,0.20436598092478175,0.20436598092478175,1.226747037324927
unweighted_explanatory,explanatory,all,family_link_flag,0.16676418236951993,0.16676418236951993,1.1814756196737748
unweighted_explanatory,explanatory,all,performance_score,0.08886478609259539,0.08886478609259539,1.0929328666115175
unweighted_explanatory,explanatory,all,years_experience,0.042696355131227055,0.042696355131227055,1.0436209565862975
unweighted_explanatory,explanatory,all,tenure_months,0.032582749877108984,0.032582749877108984,1.033119380108649
unweighted_explanatory,explanatory,all,close_family_relation_flag,1e-06,1e-06,1.0000010000005
unweighted_explanatory,explanatory,all,same_city_flag,1e-06,1e-06,1.0000010000005
unweighted_explanatory,explanatory,all,same_college_flag,1e-06,1e-06,1.0000010000005
unweighted_explanatory,explanatory,all,connection_strength,1e-06,1e-06,1.0000010000005
unweighted_explanatory,explanatory,all,discretionary_family_flag,1e-06,1e-06,1.0000010000005
unweighted_explanatory,explanatory,all,discretionary_alumni_network_flag,1e-06,1e-06,1.0000010000005
unweighted_explanatory,explanatory,all,discretionary_internal_source_flag,1e-06,1e-06,1.0000010000005
balanced_compact,compact,all,promotion_headroom,1.057153535153575,1.057153535153575,2.8781667178378716
balanced_compact,compact,all,discretionary_referral_flag,1.0349091840049431,1.0349091840049431,2.814850590558591
balanced_compact,compact,all,discretionary_legacy_referral_flag,0.9364911717180586,0.9364911717180586,2.551014623798354
balanced_compact,compact,all,discretionary_manager_endorsement_flag,0.7336364366587813,0.7336364366587813,2.0826402436038958
balanced_compact,compact,all,same_high_school_flag,0.7121216707095198,0.7121216707095198,2.03831129955522
balanced_compact,compact,all,family_link_flag,0.1641475331575823,0.1641475331575823,1.1783881535940925
balanced_compact,compact,all,connection_strength,0.15898051010858827,0.15898051010858827,1.1723150981640973
balanced_compact,compact,all,performance_score,0.10558345203869948,0.10558345203869948,1.1113588458144832
balanced_compact,compact,all,same_last_name_flag,0.07234156530173878,0.07234156530173878,1.0750224717361418
balanced_compact,compact,all,tenure_months,0.03869791296890614,0.03869791296890614,1.0394564299099023
balanced_compact,compact,all,has_discretionary_channel,0.03082897232072967,0.03082897232072967,1.0313091063994484
balanced_compact,compact,all,years_experience,0.026999619326360528,0.026999619326360528,1.0273674116717233
balanced_compact,compact,all,close_family_relation_flag,1e-06,1e-06,1.0000010000005
balanced_compact,compact,all,same_city_flag,1e-06,1e-06,1.0000010000005
balanced_compact,compact,all,same_college_flag,1e-06,1e-06,1.0000010000005
balanced_compact,compact,all,discretionary_family_flag,1e-06,1e-06,1.0000010000005
balanced_compact,compact,all,discretionary_alumni_network_flag,1e-06,1e-06,1.0000010000005
balanced_compact,compact,all,discretionary_internal_source_flag,1e-06,1e-06,1.0000010000005
unweighted_compact,compact,all,promotion_headroom,0.9348962873752986,0.9348962873752986,2.546949293244464
unweighted_compact,compact,all,discretionary_referral_flag,0.8408813590962081,0.8408813590962081,2.3184094278204213
unweighted_compact,compact,all,discretionary_legacy_referral_flag,0.5680460982370699,0.5680460982370699,1.7648154045122317
unweighted_compact,compact,all,same_high_school_flag,0.505480586415644,0.505480586415644,1.6577820365749847
unweighted_compact,compact,all,discretionary_manager_endorsement_flag,0.2769851627751658,0.2769851627751658,1.3191467984121201
unweighted_compact,compact,all,has_discretionary_channel,0.27525926310167736,0.27525926310167736,1.3168720469445208
unweighted_compact,compact,all,same_last_name_flag,0.20436598092478175,0.20436598092478175,1.226747037324927
unweighted_compact,compact,all,family_link_flag,0.16676418236951993,0.16676418236951993,1.1814756196737748
unweighted_compact,compact,all,performance_score,0.08886478609259539,0.08886478609259539,1.0929328666115175
